No. ,"Author, Specimen Name ",Comments ,Specimen_Type,Load_History,Bar_Type,Steel_Origin,Bar_Grade,Nominal Diameter,Gauge Length,Corrosion_Method,Cathode_Type,Cleaning_Method,Current Density,Exposure Duration,Solution Concentration,Mass Loss,Corroded Length,Corrosion Penetration Depth,Fy,ln(Fy)
1,"Allam et al. (1994), 8HR/CS-1",Control.,Bare,None,D,Saudi Arabia,Grade 60,8,80,Control,Control,N/A,0,0,0,0,0,0,27.87,3.327594067
2,"Allam et al. (1994), 8HR/CS-2",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,8,80,N,Carbon steel,Chemical,0.91,61,3.5,0.09,500,0.002,28.2,3.33933828
3,"Allam et al. (1994), 8HR/CS-3",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,8,80,N,Carbon steel,Chemical,0.48,122,3.5,0.09,500,0.002,28.21,3.339571836
4,"Allam et al. (1994), 8HR/CS-4",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,8,80,N,Carbon steel,Chemical,0.84,183,3.5,0.24,500,0.005,28.57,3.352509738
5,"Allam et al. (1994), 8HR/CS-5",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,8,80,N,Carbon steel,Chemical,0.64,244,3.5,0.25,500,0.005,28.71,3.357180605
6,"Allam et al. (1994), 8HR/CS-6",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,8,80,N,Carbon steel,Chemical,0.73,305,3.5,0.35,500,0.007,28.72,3.357565337
7,"Allam et al. (1994), 8HR/CS-7",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,8,80,N,Carbon steel,Chemical,0.68,365,3.5,0.39,500,0.008,28.73,3.358037996
8,"Allam et al. (1994), 8HR/CS-8",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,8,80,N,Carbon steel,Chemical,0.6,427,3.5,0.41,500,0.008,28.76,3.359076825
9,"Allam et al. (1994), 8HR/CS-9",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,8,80,N,Carbon steel,Chemical,0.54,488,3.5,0.41,500,0.008,28.8,3.36030408
10,"Allam et al. (1994), 10HR/CS-1",Control.,Bare,None,D,Saudi Arabia,Grade 60,10,100,Control,Control,N/A,0,0,0,0,0,0,38.59,3.653108892
11,"Allam et al. (1994), 10HR/CS-2",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,10,100,N,Carbon steel,Chemical,0.17,61,3.5,0.01,500,0,41.25,3.719596264
12,"Allam et al. (1994), 10HR/CS-3",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,10,100,N,Carbon steel,Chemical,0.23,122,3.5,0.04,500,0.001,42.34,3.745632767
13,"Allam et al. (1994), 10HR/CS-4",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,10,100,N,Carbon steel,Chemical,0.48,183,3.5,0.11,500,0.003,43.92,3.782431484
14,"Allam et al. (1994), 10HR/CS-5",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,10,100,N,Carbon steel,Chemical,0.39,244,3.5,0.12,500,0.003,43.93,3.782632167
15,"Allam et al. (1994), 10HR/CS-6",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,10,100,N,Carbon steel,Chemical,0.57,305,3.5,0.22,500,0.005,43.93,3.782492806
16,"Allam et al. (1994), 10HR/CS-7",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,10,100,N,Carbon steel,Chemical,0.5,365,3.5,0.23,500,0.006,44,3.784182168
17,"Allam et al. (1994), 10HR/CS-8",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,10,100,N,Carbon steel,Chemical,0.51,427,3.5,0.28,500,0.007,44.17,3.788102676
18,"Allam et al. (1994), 10HR/CS-9",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,10,100,N,Carbon steel,Chemical,0.46,488,3.5,0.28,500,0.007,44.21,3.788866432
19,"Allam et al. (1994), 12HR/CS-1",Control.,Bare,None,D,Saudi Arabia,Grade 60,12,120,Control,Control,N/A,0,0,0,0,0,0,64.52,4.166971657
20,"Allam et al. (1994), 12HR/CS-2",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,2.69,61,3.5,0.17,500,0.005,64.88,4.172527922
21,"Allam et al. (1994), 12HR/CS-3",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,1.45,122,3.5,0.19,500,0.006,65.4,4.180596345
22,"Allam et al. (1994), 12HR/CS-4",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,0.99,183,3.5,0.19,500,0.006,67.03,4.205179263
23,"Allam et al. (1994), 12HR/CS-5",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,0.76,244,3.5,0.2,500,0.006,67.95,4.21874219
24,"Allam et al. (1994), 12HR/CS-6",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,1.07,305,3.5,0.34,500,0.01,68.74,4.230337969
25,"Allam et al. (1994), 12HR/CS-7",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,0.91,365,3.5,0.35,500,0.01,68.92,4.232880481
26,"Allam et al. (1994), 12HR/CS-8",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,0.89,427,3.5,0.4,500,0.012,68.96,4.233572978
27,"Allam et al. (1994), 12HR/CS-9",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,0.8,488,3.5,0.41,500,0.012,69.04,4.234719713
28,"Allam et al. (1994), 12HR-1",Control.,Bare,None,D,Saudi Arabia,Grade 60,12,120,Control,Control,N/A,0,0,0,0,0,0,51.31,3.937951773
29,"Allam et al. (1994), 12HR-2",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,5.65,61,3.5,0.36,500,0.011,51.24,3.936572857
30,"Allam et al. (1994), 12HR-3",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,2.88,122,3.5,0.37,500,0.011,52.74,3.96535817
31,"Allam et al. (1994), 12HR-4",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,2.09,183,3.5,0.4,500,0.012,52.68,3.964211778
32,"Allam et al. (1994), 12HR-5",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,1.58,244,3.5,0.41,500,0.012,52.79,3.966328469
33,"Allam et al. (1994), 12HR-6",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,1.28,305,3.5,0.41,500,0.012,53.77,3.98476645
34,"Allam et al. (1994), 12HR-7",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,1.07,365,3.5,0.41,500,0.012,53.86,3.986336194
35,"Allam et al. (1994), 12HR-8",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,0.93,427,3.5,0.41,500,0.012,53.91,3.987225145
36,"Allam et al. (1994), 12HR-9",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,12,120,N,Carbon steel,Chemical,0.81,488,3.5,0.42,500,0.012,53.89,3.986982357
37,"Allam et al. (1994), 16HR-1",Control.,Bare,None,D,Saudi Arabia,Grade 60,16,160,Control,Control,N/A,0,0,0,0,0,0,98.86,4.593685789
38,"Allam et al. (1994), 16HR-2",Natural exposure near the Arabian Gulf west coast.,Bare,None,D,Saudi Arabia,Grade 60,16,160,N,Carbon steel,Chemical,0.51,61,3.5,0.02,500,0.001,99.67,4.601885524
